author_id,author,author_firstname,author_lastname,created_datetime
1,Lewis Carroll,Lewis,Carroll,2024-09-16 14:22:03.647652
2,Robert Louis Stevenson,Robert Louis,Stevenson,2024-09-16 14:22:03.647652
3,Jonathan Swift,Jonathan,Swift,2024-09-16 14:22:03.647652
4,Niccolò Machiavelli,Niccolò,Machiavelli,2024-09-16 14:22:03.647652
5,W Grüzmacher,W,Grüzmacher,2024-09-16 14:22:03.647652
6,George Bull,George,Bull,2024-09-16 14:22:03.647652
7,Jon Lee Anderson,Jon Lee,Anderson,2024-09-16 14:22:03.647652
8,Eko,,Eko,2024-09-16 14:22:03.647652
9,Ninian Hill Thomson,Ninian Hill,Thomson,2024-09-16 14:22:03.647652
10,Yovelina Del Jesus,Yovelina Del,Jesus,2024-09-16 14:22:03.647652
11,Angelo M Codevilla,Angelo M,Codevilla,2024-09-16 14:22:03.647652
1,Lewis Carroll,Lewis,Carroll,2024-09-16 14:22:03.647652
12,L Frank Baum,L Frank,Baum,2024-09-16 14:22:03.647652
13,Arthur Conan Doyle,Arthur Conan,Doyle,2024-09-16 14:22:03.647652
14,William Shakespeare,William,Shakespeare,2024-09-16 14:22:03.647652
15,Edith Nesbit,Edith,Nesbit,2024-09-16 14:22:03.647652
1,Lewis Carroll,Lewis,Carroll,2024-09-16 14:22:03.647652
16,JRR Tolkien,JRR,Tolkien,2024-09-16 14:22:03.647652
17,George Orwell,George,Orwell,2024-09-16 14:22:03.647652
